Initialization Time (seconds)
Iteration,Rank 0,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7
0,0.9665045738220215,0.6770846843719482,0.7233765125274658,0.6203701496124268,0.6651012897491455,0.6664783954620361,0.6663196086883545,0.6311342716217041
1,,0.6619255542755127,0.7105307579040527,0.6811366081237793,0.7517809867858887,0.635340690612793,0.6201987266540527,0.7157258987426758
2,,0.688946008682251,0.7064852714538574,0.7178959846496582,0.7692484855651855,0.7133207321166992,0.6855053901672363,0.6691267490386963
3,,0.6471426486968994,0.7010514736175537,0.6282432079315186,0.7635252475738525,0.6416950225830078,0.6632912158966064,0.643498420715332
4,,0.715606689453125,0.7127692699432373,0.7248609066009521,0.8044488430023193,0.6365373134613037,0.6330280303955078,0.6494238376617432
5,,0.7144062519073486,0.7326400279998779,0.7179691791534424,0.764254093170166,0.7243349552154541,0.7441728115081787,0.7051205635070801
6,,0.7023561000823975,0.7496228218078613,0.6891627311706543,0.7679660320281982,0.6694767475128174,0.7698602676391602,0.651965856552124
7,,0.7053422927856445,0.6492481231689453,0.6899778842926025,0.9271574020385742,0.6788747310638428,0.671074628829956,0.6807096004486084
8,,0.6174452304840088,0.6503067016601562,0.655494213104248,0.7714579105377197,0.6983237266540527,0.6251487731933594,0.6962599754333496
9,,0.6458392143249512,0.7728190422058105,0.6245779991149902,0.6212012767791748,0.6387696266174316,0.7490754127502441,0.6869704723358154
10,,0.6503937244415283,0.6236457824707031,0.638052225112915,0.7888350486755371,0.7048232555389404,0.6195428371429443,0.6326184272766113
11,,0.6354813575744629,0.6741745471954346,0.6284582614898682,0.7695705890655518,0.6334095001220703,0.6594796180725098,0.6350808143615723
12,,0.6834104061126709,0.7075023651123047,0.6510934829711914,0.777719259262085,0.6544466018676758,0.6331760883331299,0.6728010177612305
13,,0.6659202575683594,0.7123847007751465,0.6683006286621094,0.7814121246337891,0.6673069000244141,0.6299138069152832,0.6669416427612305
14,,0.6890180110931396,0.6429448127746582,0.7151668071746826,0.7462108135223389,0.6620421409606934,0.6234033107757568,0.7033357620239258
15,,0.7041401863098145,0.8094985485076904,0.7138814926147461,0.7569839954376221,0.6412558555603027,0.7785251140594482,0.6999950408935547
16,,0.7018027305603027,0.7050814628601074,0.6820700168609619,0.7661616802215576,0.703240156173706,0.6729531288146973,0.6602752208709717
17,,0.6627042293548584,0.6330718994140625,0.6251304149627686,0.7554683685302734,0.6541366577148438,0.6476287841796875,0.6494131088256836
18,,0.7069046497344971,0.724276065826416,0.6807451248168945,0.8072729110717773,0.6831305027008057,0.6448731422424316,0.7047972679138184
19,,0.7074458599090576,0.7168107032775879,0.6816568374633789,0.8064148426055908,0.6414616107940674,0.6930232048034668,0.6326389312744141

Computation Time (seconds)
Iteration,Rank 0,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7
0,7.402805328369141,0.12734103202819824,0.8577263355255127,0.1940748691558838,1.6270475387573242,0.14081645011901855,0.9174489974975586,0.18077969551086426
1,7.507794380187988,0.18471503257751465,0.9036257266998291,0.17026138305664062,1.6507256031036377,0.2145390510559082,0.9966216087341309,0.12885451316833496
